,count,if_use
participant1,6.000,1.000
participant2,5.000,1.000
participant3,0.000,0.000
participant4,7.000,1.000
participant5,6.000,1.000
participant6,5.000,1.000
participant7,0.000,0.000
participant8,2.000,1.000
participant9,7.000,1.000
participant10,6.000,1.000
participant11,7.000,1.000
participant12,0.000,0.000
participant13,2.000,1.000
participant14,0.000,0.000
participant15,8.000,1.000
participant16,0.000,0.000
participant17,0.000,0.000
participant18,0.000,0.000
participant19,1.000,1.000
participant20,0.000,0.000
participant21,0.000,0.000
participant22,0.000,0.000
participant23,15.000,1.000
participant24,0.000,0.000
participant25,0.000,0.000
participant26,0.000,0.000
participant27,0.000,0.000
participant28,5.000,1.000
participant29,1.000,1.000
participant30,0.000,0.000
total,83.000,15.000
